sample_id,holeid,from_m,to_m,depth_m,x,y,z,MOD_ALT,WhiteMica,Chlorite,Carbonate,Epidote,Kaolinite,Dickite,Montmor,Alunite,Gypsum,Pyrophyllite,Diaspore,Zunyite,Water_silica,Hematite,Goethite,VNIRMinerals,aiMineral1,Ag_ppm,Al_pct,As_ppm,Au_ppm,Ba_ppm,Be_ppm,Bi_ppm,Ca_pct,Cd_ppm,Co_ppm,Cr_ppm,Cu_pct,Fe_pct,K_pct,Mg_pct,Mn_pct,Mo_ppm,Na_pct,Ni_ppm,P_pct,Pb_ppm,S_pct,Sb_ppm,Sc_ppm,Si_pct,Sr_ppm,Ti_pct,V_ppm,W_ppm,Zn_ppm,Ga_ppm,Rb_ppm,Tl_ppm,Cs_ppm,labeled
S00011,SYN-001,15.0,16.5,15.75,109.96,-3.7,15.75,Oxd,8.93,2.45,1.47,0.99,7.36,2.92,2.1,39.84,8.81,20.04,3.09,0.0,9.6,45.57,33.06,Hematite,Alunite,3.39594,7.77566,127.05945,1.4414,193.27421,,12.97223,0.16584,0.95949,57.36593,7.39857,1.71753,1.66721,0.50309,1.15255,0.02143,9.71426,0.10729,2.80425,0.05183,22.35014,2.34777,10.05466,14.02149,7.43158,34.52466,0.72395,361.86588,0.6459,77.06183,18.90501,41.57303,7.03039,5.17531,False
S00012,SYN-001,16.5,18.0,17.25,110.88,-4.84,17.25,ArgAvd,6.3,0.0,4.85,2.07,7.38,5.85,2.74,47.87,3.62,100.0,17.58,4.48,5.37,1.73,1.0,None,Pyrophyllite,1.94655,8.91532,267.11255,0.63994,63.15678,0.28097,11.51135,0.38024,0.26069,17.99564,182.5679,,19.93831,5.22096,2.57024,0.04874,5.57728,,9.1386,0.11996,61.10721,0.05477,7.55615,8.44607,11.34952,20.92878,1.33851,126.91987,4.06415,201.33766,39.49848,52.69689,0.43314,2.84792,True
S00013,SYN-001,18.0,19.5,18.75,111.81,-5.98,18.75,Oxd,4.82,1.59,3.77,3.13,12.45,0.0,0.0,3.24,20.21,1.26,0.0,1.53,18.2,45.19,15.93,Hematite,Gypsum,1.03736,17.35049,662.50815,0.33605,127.08076,0.44344,2.91214,0.717,0.72875,4.24033,32.56669,0.35058,2.86172,1.45245,1.03764,0.06062,4.68486,2.33065,18.81499,0.11825,,0.54479,8.22235,6.46779,19.30742,93.60626,1.41174,73.90508,0.43866,25.45654,66.72636,,0.15173,1.34063,False
S00014,SYN-001,19.5,21.0,20.25,112.73,-7.12,20.25,Oxd,5.03,0.01,0.0,4.41,9.11,10.87,0.47,10.4,17.27,0.0,0.0,3.5,20.59,15.5,25.22,Goethite,Water_silica,0.47205,24.25964,455.82043,0.34989,239.11316,,0.86436,0.09442,0.30979,4.2738,59.7944,0.03302,19.2262,0.81915,2.19141,0.05943,3.79902,2.99666,12.12065,0.05531,26.84086,0.14086,4.61109,28.49477,20.92955,214.56541,0.67393,58.70558,2.06264,77.65392,7.2192,7.81984,0.15736,7.58876,True
S00015,SYN-001,21.0,22.0,21.5,113.5,-8.07,21.5,Oxd,3.74,20.23,0.83,0.0,9.23,1.16,2.75,7.21,11.69,3.68,30.52,25.76,26.82,55.28,17.65,Hematite,Diaspore,0.32935,19.22711,317.04324,2.19168,95.67697,7.44848,1.64193,0.05306,0.65255,6.22956,63.94566,0.23539,10.39276,1.13057,3.43295,0.33246,,1.18885,22.37021,0.12551,46.15731,0.17113,15.20892,9.84453,19.12884,187.00828,2.35352,60.27967,,78.07644,29.8743,16.10057,3.90654,1.03477,True
S00016,SYN-001,22.0,23.5,22.75,114.28,-9.01,22.75,Oxd,8.13,32.31,0.0,0.0,12.86,0.0,0.0,5.97,11.28,0.0,4.89,4.5,12.54,60.73,42.06,Hematite,Chlorite,0.39236,8.64177,6186.0157422619695,0.75452,101.47024,1.53967,2.45307,0.3527,1.63063,15.62977,131.89661,0.09145,5.61226,16.46739,1.65939,0.29881,2.99066,1.66835,,0.43608,87.89423,0.27251,15.81805,0.92907,57.14016,,0.30791,82.55153,7.50805,54.41193,5.16785,60.55781,0.71004,3.22042,True
S00017,SYN-001,23.5,24.5,24.0,115.05,-9.96,24.0,ArgAvd,0.0,0.0,2.66,0.48,7.83,15.01,0.0,25.21,4.99,100.0,20.45,1.68,12.01,0.0,3.46,None,Pyrophyllite,2.75929,7.28342,541.41646,1.56291,148.02824,0.12932,11.07384,0.24311,1.21693,7.10021,34.38789,0.38546,1.93321,15.35226,0.79057,0.04983,24.85022,0.14526,33.07297,0.08596,,3.14527,43.9173,12.7116,26.78025,109.80348,0.27934,140.24759,1.16851,9.83531,25.19281,66.70917,1.23496,,True
S00018,SYN-001,24.5,26.0,25.25,115.82,-10.91,25.25,Oxd,4.86,1.48,1.77,1.89,22.22,0.0,0.0,5.64,38.48,0.94,0.0,0.07,17.64,37.37,44.67,Goethite,Gypsum,0.87173,4.88626,870.79894,3.56066,173.16206,1.80809,1.71678,0.90669,0.71707,13.38068,155.92115,0.0811,2.90888,4.89904,0.45983,0.04754,3.02113,0.79955,14.79325,0.02004,29.51457,0.0901,26.87986,2.64502,5.55237,22.70146,2.11019,233.52017,0.84579,44.30886,40.921,31.51994,0.59636,5.30746,True
S00019,SYN-001,26.0,27.5,26.75,116.74,-12.05,26.75,Oxd,3.79,0.93,0.71,0.0,15.87,0.0,0.0,3.53,14.26,4.94,18.65,0.0,31.59,24.98,28.14,Goethite,Water_silica,1.60582,7.92547,534.53569,0.36357,220.60364,0.18554,2.89148,2.12753,1.89539,22.80111,148.88419,0.08291,83.83306,1.55143,3.24254,0.16421,3.06856,0.86617,21.58283,0.01625,25.19716,,7.08569,3.72032,35.78041,81.57239,0.74588,94.36596,,72.66887,13.7516,229.54043,0.31504,0.42034,True
S00020,SYN-001,27.5,28.5,28.0,117.51,-13.0,28.0,Oxd,32.91,2.69,3.87,0.0,18.41,0.0,0.68,8.04,6.24,8.47,0.0,23.11,18.93,57.32,7.88,Hematite,WhiteMica,2.42215,6.71834,,0.92412,306.64928,0.44073,0.75695,0.06691,0.58584,3.05183,63.97088,0.05749,10.47609,,0.57876,0.14945,1.72513,0.62942,50.35396,0.22386,57.9217,0.18775,51.37697,13.15827,74.56832,55.50497,0.15719,63.37438,,6.57867,58.96336,51.74031,0.85545,1.39794,True
S00021,SYN-001,28.5,29.5,29.0,118.13,-13.76,29.0,Oxd,3.58,0.0,1.19,0.0,1.7,2.48,5.23,7.4,4.37,2.37,0.01,1.48,0.25,67.21,20.68,Hematite,Alunite,1.44766,13.20532,147.99269,0.4193,137.28417,0.08631,7.3667,0.17315,0.34889,3.55549,27.26211,0.05112,14.44625,3.15446,0.63676,0.48908,11.74794,1.16795,23.24522,0.36429,55.5034,0.03401,11.1217,13.97467,7.89966,134.55022,1.542,318.95984,4.32313,129.67026,20.04194,50.21051,1.54808,,True
S00022,SYN-001,29.5,31.0,30.25,118.9,-14.71,30.25,Oxd,5.11,0.75,0.09,2.24,14.84,0.0,0.0,3.27,17.71,0.0,3.79,1.89,9.35,49.09,21.42,Hematite,Gypsum,0.93924,19.59451,497.59282,7.6998,39.1962,0.07476,1.96757,0.03052,0.77921,9.23892,109.89588,0.60835,10.37666,1.4472,0.83772,0.20799,4.60649,0.57613,33.02586,0.09038,30.89095,0.37643,11.37949,,59.81664,59.4149,0.05236,90.53648,0.83192,113.8774,25.21149,7.25302,2.5421,0.40158,False
S00023,SYN-001,31.0,32.0,31.5,119.67,-15.66,31.5,Oxd,6.29,6.19,0.58,5.08,5.73,3.66,3.39,37.31,9.19,0.48,0.0,7.32,13.11,28.23,31.22,Goethite,Alunite,2.6673,18.26462,262.54783,0.9304,577.09298,0.56085,1.53948,0.39432,1.41321,6.23802,46.9361,0.05244,9.15417,0.53939,2.20268,0.0566,1.47832,1.26508,12.6179,,96.55147,0.00744,2.80232,14.38743,33.18997,311.7384,1.95465,138.69892,6.92409,138.01361,23.98857,85.87525,0.49207,,True
S00024,SYN-001,32.0,34.0,33.0,120.6,-16.8,33.0,Oxd,4.27,18.75,5.51,0.0,17.54,3.24,0.5,15.66,14.22,5.49,2.38,2.73,10.31,21.9,21.97,Goethite,Chlorite,7.02856,11.30352,522.51746,2.14955,158.59906,4.61775,11.49734,4.56423,0.04842,5.81047,15.64733,0.07237,1.17351,2.87167,1.23814,0.04495,67.18347,1.26728,21.01472,0.17631,34.23307,4.34315,8.10706,13.37741,26.97978,23.31959,0.71599,,6.63471,69.26781,,16.54233,1.76325,3.05472,True
S00025,SYN-001,34.0,35.5,34.75,121.68,-18.12,34.75,ArgAvd,34.54,0.0,0.0,0.0,5.6,3.16,0.32,41.41,0.0,84.15,12.48,11.52,12.69,8.34,3.92,None,Pyrophyllite,1.88079,3.07479,441.73717,4.38044,377.21616,,2.48013,0.16899,0.08249,5.25149,9.35283,0.23103,2.86149,0.53668,1.0634,0.27907,4.72409,0.35413,34.69788,0.01644,67.88208,2.55978,20.98571,1.47447,54.41969,168.39804,0.33555,210.44295,,324.78315,27.62619,25.65406,5.68123,0.68979,True
S00026,SYN-001,35.5,37.0,36.25,122.6,-19.26,36.25,Arg,21.56,5.82,4.05,4.36,48.31,10.01,22.26,0.26,1.31,5.01,0.38,0.0,0.0,0.0,4.28,None,Kaolinite,6.61234,30.90982,72.87612,0.147,312.20862,0.54132,2.4806,0.0805,1.03373,14.67606,41.16622,0.01367,1.51904,3.72431,0.30398,0.11789,3.47422,1.64251,9.81429,0.11866,36.07741,0.48409,5.46966,32.03118,21.70251,49.4841,0.72631,23.25068,13.65837,70.91703,15.2462,74.27418,1.34954,,True
S00027,SYN-001,37.0,38.5,37.75,123.53,-20.4,37.75,ArgAvd,5.48,0.0,1.41,0.0,2.99,11.33,2.7,28.97,0.0,70.95,65.7,13.08,12.59,0.86,7.32,None,Pyrophyllite,20.42365,43.38182,353.73473,0.89025,308.33679,1.46563,5.63977,0.73204,0.61116,42.38943,64.58624,0.17033,3.34692,5.46014,1.14329,0.09263,28.48739,0.08906,12.2805,0.04622,67.97929,2.20229,27.00262,11.12535,31.43982,150.01162,0.12318,107.66065,2.57056,21.04074,41.11783,27.96411,7.8499,,True
S00028,SYN-001,38.5,39.5,39.0,124.3,-21.35,39.0,Oxd,33.61,2.74,0.0,0.89,16.11,0.06,0.23,2.87,17.7,0.62,0.0,0.0,20.63,52.67,23.36,Hematite,WhiteMica,0.28929,9.90162,280.11906,0.14089,162.04374,,0.82363,0.67649,0.22293,8.40907,38.84332,0.0551,26.61184,1.21071,0.24151,0.25801,4.61818,0.34261,34.08423,0.0494,,0.50631,40.32785,8.73418,28.01393,112.59872,,81.98297,3.80263,40.47857,13.13549,56.10595,0.13348,2.09161,True
S00029,SYN-001,39.5,41.5,40.5,125.22,-22.49,40.5,Oxd,10.14,2.18,0.0,1.59,12.72,29.96,2.49,7.59,6.42,3.28,5.91,4.07,27.85,12.4,0.0,None,Dickite,1.89593,10.23058,406.44776,1.05149,137.24102,0.63198,6.84563,0.07286,0.2079,19.1037,7.9593,0.31013,15.00915,1.23025,1.37699,0.323,,0.14218,15.67809,0.02794,73.20514,0.09716,9.58819,6.73772,39.42349,71.05558,1.42111,31.75886,1.20884,101.64283,16.74039,60.16263,0.09853,0.81047,True
S00030,SYN-001,41.5,43.0,42.25,126.3,-23.82,42.25,Oxd,5.45,0.29,1.29,0.0,6.66,0.0,0.0,13.97,7.61,3.25,1.49,0.0,29.33,15.6,39.07,Goethite,Water_silica,1.7189,6.21692,801.76261,0.80309,307.84778,1.44354,1.90943,0.1107,0.23081,2.59563,,0.06719,15.42786,2.38736,1.05808,0.09564,1.14701,1.73963,14.37527,0.31329,70.42121,0.22288,6.75247,10.59195,26.12718,218.79455,0.24882,63.96989,8.85716,52.96638,16.74162,170.17841,1.43302,4.84842,True
S00031,SYN-001,43.0,45.0,44.0,127.38,-25.15,44.0,Fil,59.9,1.8,0.0,0.0,13.24,2.04,6.27,2.74,9.89,4.98,0.41,4.3,3.25,2.92,2.78,None,WhiteMica,4.20271,5.10958,230.48677,1.47184,2679.53944,0.38589,,0.64484,0.68381,5.28152,239.47156,0.31859,3.82509,0.53332,1.78368,0.14497,3.24794,0.067,26.45723,0.1198,17.50249,0.533,5.34373,7.84263,50.57365,149.71697,0.45698,294.43319,1.71908,12.62255,31.55569,280.6015,0.33821,2.33096,True
S00032,SYN-001,45.0,46.0,45.5,128.31,-26.29,45.5,ArgAvd,3.29,2.88,3.8,1.72,4.31,13.48,1.97,75.27,2.4,7.04,14.35,3.67,7.83,2.61,2.21,None,Alunite,4.6847,10.70699,222.05021,0.11561,283.58431,0.19665,2.49474,0.08374,,6.63099,46.99763,0.08524,1.47569,1.27616,3.38683,0.26147,17.73204,0.38713,29.48561,0.05767,26.15771,2.08612,21.86895,5.58257,48.60501,64.09942,0.06833,33.11009,1.91534,102.41386,20.49612,8.41148,14.58798,,True
S00033,SYN-001,46.0,47.5,46.75,129.08,-27.23,46.75,Fil,85.8,8.42,0.82,0.0,12.17,31.47,2.41,0.42,21.93,3.35,1.19,0.0,2.64,3.54,2.44,None,WhiteMica,2.69022,8.78088,110.65184,0.09917,909.71711,0.61569,2.86426,0.3921,0.82458,18.33188,49.41811,0.02578,3.22582,3.53752,0.5365,0.3003,2.62768,0.09836,,0.27224,40.06398,1.1498,1.94912,2.70458,25.70515,109.99553,0.47503,55.45691,1.48351,86.69626,25.24314,47.69649,0.92107,1.90259,True
S00034,SYN-001,47.5,49.0,48.25,130.01,-28.37,48.25,Fil,82.34,1.49,0.0,0.93,30.17,7.05,8.01,6.59,20.26,2.2,4.02,0.0,8.13,0.0,0.0,None,WhiteMica,1.57246,9.57174,249.97841,0.26899,476.2752,1.22328,0.43704,0.25252,0.65337,11.12442,4.68424,0.29236,6.94348,2.48235,,0.12925,10.39515,0.07608,12.35998,0.01994,21.83866,2.38826,2.33903,16.48357,29.84415,333.78162,0.95016,9.47564,,101.07008,69.48662,22.34132,0.05862,0.97213,True
S00035,SYN-001,49.0,51.0,50.0,131.08,-29.7,50.0,Arg,9.42,0.0,1.4,2.3,25.67,16.98,30.23,0.0,3.78,0.0,0.0,0.0,0.25,0.0,5.32,None,Montmor,0.40933,3.68761,20.4086,0.17445,51.43735,,0.5883,1.0255,0.15462,5.66587,13.44273,0.14081,,8.59283,2.86273,0.02097,2.4691,0.57725,14.95734,0.06367,12.11604,2.95805,2.05614,2.64789,14.11463,229.20641,0.86357,,7.92677,61.01539,45.21032,16.87361,0.3175,3.36216,True
S00036,SYN-001,51.0,52.5,51.75,132.16,-31.03,51.75,ArgAvd,7.75,0.0,2.17,0.0,4.98,13.37,1.25,11.75,2.1,100.0,16.27,10.09,9.36,2.25,0.47,None,Pyrophyllite,1.62045,42.66914,1271.64242,0.1492,267.68607,3.17697,4.89436,0.1663,0.45741,7.84772,13.1842,0.12038,2.47107,1.58831,0.19713,0.02556,17.16919,,18.70325,0.13348,12.88748,2.83427,64.8017,5.19261,12.80261,84.9056,1.24945,78.40303,1.93932,526.40588,27.02753,45.28167,2.22767,1.92234,True
S00037,SYN-001,52.5,54.0,53.25,133.09,-32.17,53.25,ArgAvd,5.54,1.98,0.17,0.0,6.07,10.83,30.43,50.77,1.23,64.7,19.7,9.79,3.23,0.0,5.56,None,Pyrophyllite,6.79076,4.20786,220.03737,0.3263,,1.36584,1.40428,1.35974,0.51682,16.70694,39.8114,0.03787,5.08934,,1.47254,0.16179,,0.91962,7.93,0.3603,10.60256,1.10656,2.21251,6.12337,77.32933,44.01216,0.72899,49.32837,1.07763,297.56838,,40.54846,0.55715,3.2669,True
S00038,SYN-001,54.0,55.5,54.75,134.01,-33.31,54.75,ArgAvd,4.75,1.26,1.05,1.36,10.3,9.07,0.76,24.34,0.0,27.79,23.4,7.94,3.49,0.18,0.72,None,Pyrophyllite,6.61935,5.35705,152.47238,3.25577,215.6631,0.07999,15.44438,,0.24267,13.08566,71.95495,,0.85971,2.12631,0.76984,0.08018,8.56929,0.11068,19.44269,0.08658,16.98276,19.08178,21.80226,14.23027,25.01181,74.76,0.09248,120.36296,0.24845,34.65318,8.17304,46.12289,2.58288,2.06764,True
S00039,SYN-001,55.5,57.0,56.25,134.94,-34.45,56.25,ArgAvd,1.45,27.39,1.65,3.14,38.35,7.53,3.33,62.41,31.06,100.0,23.32,33.34,10.78,0.0,0.0,None,Pyrophyllite,5.972,8.92767,1971.24756,0.3957,229.17623,0.18249,14.36422,0.16774,0.24138,3.24919,62.08485,0.23342,1.28787,1.55578,3.04663,0.23214,13.16154,0.05606,12.26944,,14.16244,27.26819,94.94334,30.68493,38.77805,206.076,0.35128,38.9948,0.58864,179.67993,18.45273,199.16861,2.29862,2.83264,True
S00040,SYN-001,57.0,58.5,57.75,135.87,-35.59,57.75,Arg,22.62,0.0,3.96,2.96,88.61,20.03,5.74,1.03,0.12,0.0,0.0,1.83,1.31,0.0,0.0,None,Kaolinite,0.95877,17.89577,,0.03329,658.58553,0.12897,5.13087,0.5892,0.23961,5.60507,182.03808,0.02492,1.86447,2.96905,1.73364,0.20791,3.78857,0.1118,,0.09929,9.7516,0.65481,2.5429,44.2315,39.80659,61.76118,0.06691,,3.39109,52.48771,32.35122,46.99109,0.86577,0.93575,True
S00041,SYN-001,58.5,60.0,59.25,136.79,-36.72,59.25,Fil,99.4,2.65,0.0,2.53,4.53,7.86,6.73,4.25,6.84,0.0,0.0,0.0,3.04,0.0,5.12,None,WhiteMica,2.34164,15.43318,210.52907,0.09569,367.96849,,2.90874,,0.37645,21.7417,18.26989,0.1264,2.36052,8.79513,1.15068,,,1.05389,13.52738,0.04437,,4.89405,5.44059,6.90185,74.96455,158.27213,0.21561,,,31.94154,15.60148,214.00388,,2.67124,True
S00042,SYN-001,60.0,61.0,60.5,137.56,-37.67,60.5,Arg,3.26,0.0,4.45,2.57,45.28,22.55,5.21,0.31,5.62,3.34,0.0,4.36,32.3,0.0,6.15,None,Kaolinite,1.58615,3.8244,23.15693,0.02824,218.89719,0.41424,1.6412,13.00589,,10.14141,37.77221,0.16602,1.57621,1.25786,1.46455,0.12667,1.60456,1.03583,15.55485,0.01542,40.24533,0.19525,1.44187,31.1647,21.19479,123.94469,0.1143,109.73858,1.68633,639.30356,69.55389,33.52804,0.70344,2.35929,True
S00043,SYN-001,61.0,63.0,62.0,138.49,-38.81,62.0,Arg,16.24,31.26,0.0,15.64,62.36,14.84,4.76,0.0,3.5,34.87,2.34,0.0,1.72,1.08,3.87,None,Kaolinite,0.2371,4.12606,39.8518,0.21461,817.19963,1.29784,0.80658,0.35131,,37.75084,20.30179,0.01747,0.87224,3.37392,2.55691,0.0583,4.57562,0.35276,11.77411,0.72091,96.87208,1.09732,0.78382,13.8466,98.40041,337.06121,0.2028,159.32003,5.42739,96.86039,11.3292,69.68138,0.68633,1.36737,True
S00044,SYN-001,63.0,65.0,64.0,139.72,-40.33,64.0,Fil,100.0,0.0,1.4,2.82,7.89,4.63,5.57,7.46,3.48,25.09,0.0,0.0,3.17,4.83,0.35,None,WhiteMica,1.99342,6.45925,546.59869,0.13589,386.75701,0.21541,0.87851,0.15682,0.52314,18.13882,18.33872,0.02954,2.31237,7.81033,1.05718,0.20042,5.62199,0.72564,15.23569,0.02533,42.03586,4.68189,4.95341,11.83967,17.97811,,0.1387,197.25835,1.32368,136.34862,33.45321,54.86557,1.31786,5.4192,True
S00045,SYN-001,65.0,66.0,65.5,140.65,-41.47,65.5,Fil,4.6,0.0,4.6,2.02,7.52,32.73,0.0,4.98,3.3,2.36,0.6,0.0,4.36,7.08,0.0,None,Dickite,2.84745,20.04885,152.81784,0.09672,877.45044,0.91621,3.92249,0.43119,0.30862,12.5564,78.86968,0.07223,9.7578,2.06113,1.29879,0.01271,2.23527,1.93254,32.17842,0.01742,50.5391,4.39834,,8.62213,18.60033,481.87365,0.4414,323.48922,2.96753,95.66181,17.51085,68.24626,2.0345,3.43427,True
S00046,SYN-001,66.0,67.5,66.75,141.42,-42.42,66.75,Fil,26.85,0.48,1.45,3.21,7.77,7.66,1.69,0.0,5.24,2.28,1.22,0.0,0.6,4.31,1.79,None,WhiteMica,6.52169,5.94019,1179.43677,0.43175,742.17627,0.95667,4.31587,1.96602,0.83418,1.90718,40.53464,0.34073,6.85853,10.74182,0.08816,0.03336,5.61076,0.16272,5.3791,0.47476,11.85266,0.21503,8.46178,26.18311,91.26473,50.50522,0.92821,97.9017,,140.52471,30.29014,255.83927,2.56423,5.80985,True
S00047,SYN-001,67.5,68.5,68.0,142.19,-43.37,68.0,Arg,16.43,6.86,0.0,0.0,40.78,13.36,6.0,0.0,3.93,4.56,0.0,1.38,4.62,2.6,5.21,None,Kaolinite,0.85174,3.77195,93.40853,0.86838,451.47819,0.95864,1.42293,0.26484,0.62843,8.45402,30.6808,0.18008,4.76307,8.06622,0.12293,0.08801,32.00945,1.1572,16.71191,0.04411,51.7877,1.31028,1.02026,29.04566,31.41581,174.81732,1.3017,149.7461,2.17933,96.43047,71.77698,127.0535,0.15316,3.25175,False
S00048,SYN-001,68.5,70.0,69.25,142.96,-44.32,69.25,Fil,10.81,1.3,5.97,0.0,34.22,6.45,4.8,6.27,8.42,0.8,19.58,1.39,2.84,4.55,2.24,None,Kaolinite,2.34203,18.84072,510.83061,0.81316,174.56133,0.28859,1.33599,1.08457,0.25262,13.89087,99.83798,,4.34627,2.26267,1.28924,0.02076,6.19027,0.43253,1.75627,0.03504,67.19854,1.18464,1.479,12.84237,29.41216,113.75611,0.23185,60.9964,10.14197,27.315,26.94746,12.69722,1.73194,,True
