sample_id,holeid,MOD_ALT,labeled
S00062,SYN-001,Arg,True
S00063,SYN-001,Arg,True
S00064,SYN-001,Arg,True
S00065,SYN-001,Fil,False
S00066,SYN-001,Arg,True
S00067,SYN-001,Fil,True
S00068,SYN-001,Arg,True
S00069,SYN-001,Arg,True
S00070,SYN-001,Arg,True
S00071,SYN-001,Arg,True
S00072,SYN-001,Arg,True
S00073,SYN-001,Pro,True
S00074,SYN-001,Arg,True
S00075,SYN-001,Arg,True
S00076,SYN-001,Arg,True
S00077,SYN-001,Fil,True
S00078,SYN-001,Arg,True
S00079,SYN-001,Fil,True
S00080,SYN-001,Fil,True
S00081,SYN-001,Pro,True
S00082,SYN-001,Pro,True
S00083,SYN-001,Pro,True
S00084,SYN-001,Arg,True
S00085,SYN-001,Arg,True
S00086,SYN-001,Fil,False
S00087,SYN-001,Fil,True
S00088,SYN-001,Arg,True
S00089,SYN-001,Fil,True
S00090,SYN-001,Fil,True
S00091,SYN-001,Fil,True
S00092,SYN-001,Fil,True
S00093,SYN-001,Pro,True
S00094,SYN-001,Pro,True
S00095,SYN-001,Pro,False
S00096,SYN-001,Pro,True
S00097,SYN-001,Fil,True
S00098,SYN-001,Pro,True
S00099,SYN-001,Pro,True
S00100,SYN-001,Pro,False
S00101,SYN-001,Fil,True
S00102,SYN-001,Fil,True
S00103,SYN-001,Pro,True
S00104,SYN-001,Pro,True
S00105,SYN-002,Oxd,True
S00106,SYN-002,Oxd,True
S00107,SYN-002,Oxd,True
S00108,SYN-002,Oxd,False
S00109,SYN-002,Oxd,True
S00110,SYN-002,Oxd,True
S00111,SYN-002,ArgAvd,True
S00112,SYN-002,Oxd,True
S00113,SYN-002,Oxd,True
S00114,SYN-002,Oxd,False
S00115,SYN-002,Oxd,False
S00116,SYN-002,ArgAvd,True
S00117,SYN-002,Oxd,True
S00118,SYN-002,Oxd,True
S00119,SYN-002,Oxd,True
S00120,SYN-002,Oxd,True
S00121,SYN-002,Oxd,True
S00122,SYN-002,Oxd,True
S00123,SYN-002,Oxd,True
S00124,SYN-002,ArgAvd,True
S00125,SYN-002,Oxd,False
S00126,SYN-002,Oxd,False
S00127,SYN-002,Oxd,True
S00128,SYN-002,Fil,True
S00129,SYN-002,Oxd,False
S00130,SYN-002,Fil,True
S00131,SYN-002,Fil,True
S00132,SYN-002,Oxd,True
S00133,SYN-002,Fil,True
S00134,SYN-002,Oxd,True
S00135,SYN-002,Arg,True
S00136,SYN-002,Arg,False
S00137,SYN-002,Arg,True
S00138,SYN-002,Arg,True
S00139,SYN-002,Fil,True
S00140,SYN-002,Arg,False
S00141,SYN-002,Fil,True
S00142,SYN-002,Fil,True
S00143,SYN-002,Arg,True
S00144,SYN-002,Arg,True
S00145,SYN-002,Fil,True
S00146,SYN-002,Fil,True
S00147,SYN-002,Arg,False
S00148,SYN-002,Fil,True
S00149,SYN-002,Fil,False
S00150,SYN-002,Arg,False
S00151,SYN-002,Fil,True
S00152,SYN-002,Fil,True
S00153,SYN-002,Arg,True
S00154,SYN-002,Arg,True
S00155,SYN-002,Arg,True
S00156,SYN-002,Arg,True
S00157,SYN-002,Arg,True
S00158,SYN-002,Arg,True
S00159,SYN-002,Arg,True
S00160,SYN-002,Arg,True
S00161,SYN-002,Fil,True
S00162,SYN-002,Arg,True
S00163,SYN-002,Arg,True
S00164,SYN-002,Arg,True
S00165,SYN-002,Arg,True
S00166,SYN-002,Arg,True
S00167,SYN-002,Arg,True
S00168,SYN-002,Fil,False
S00169,SYN-002,Fil,True
S00170,SYN-002,Arg,True
S00171,SYN-002,Fil,True
S00172,SYN-002,Pro,False
S00173,SYN-002,Arg,False
S00174,SYN-002,Pro,False
S00175,SYN-002,Arg,True
S00176,SYN-002,Arg,True
S00177,SYN-002,Sk,True
S00178,SYN-002,Arg,False
S00179,SYN-002,Arg,False
S00180,SYN-002,Fil,True
S00181,SYN-002,Fil,True
S00182,SYN-002,Arg,True
S00183,SYN-002,Arg,False
S00184,SYN-002,Arg,True
S00185,SYN-002,Arg,True
S00186,SYN-002,Arg,True
S00187,SYN-002,Arg,True
S00188,SYN-002,Sk,True
S00189,SYN-002,Pro,True
S00190,SYN-002,Arg,True
S00191,SYN-002,Pro,True
S00192,SYN-002,Arg,True
S00193,SYN-002,Arg,True
S00194,SYN-002,Fil,True
S00195,SYN-002,Fil,True
S00196,SYN-002,Fil,True
S00197,SYN-002,Fil,False
S00198,SYN-002,Fil,True
S00199,SYN-002,Arg,True
S00200,SYN-002,Arg,True
S00201,SYN-003,ArgAvd,True
S00202,SYN-003,Oxd,True
S00203,SYN-003,Oxd,True
S00204,SYN-003,Oxd,True
S00205,SYN-003,Oxd,True
S00206,SYN-003,Oxd,True
S00207,SYN-003,Oxd,False
S00208,SYN-003,Oxd,True
S00209,SYN-003,ArgAvd,True
S00210,SYN-003,Oxd,True
S00211,SYN-003,Oxd,False
S00212,SYN-003,Oxd,True
S00213,SYN-003,Oxd,True
S00214,SYN-003,Oxd,False
S00215,SYN-003,Oxd,True
S00216,SYN-003,Oxd,True
S00217,SYN-003,Oxd,True
S00218,SYN-003,Oxd,True
S00219,SYN-003,Oxd,False
S00220,SYN-003,ArgAvd,True
S00221,SYN-003,Oxd,True
S00222,SYN-003,Oxd,True
S00223,SYN-003,Oxd,True
S00224,SYN-003,Oxd,True
S00225,SYN-003,ArgAvd,True
S00226,SYN-003,ArgAvd,False
S00227,SYN-003,ArgAvd,True
S00228,SYN-003,Fil,True
S00229,SYN-003,ArgAvd,False
S00230,SYN-003,Oxd,False
S00231,SYN-003,Fil,True
S00232,SYN-003,ArgAvd,True
S00233,SYN-003,ArgAvd,False
S00234,SYN-003,Fil,True
S00235,SYN-003,ArgAvd,True
S00236,SYN-003,Fil,False
S00237,SYN-003,Fil,True
S00238,SYN-003,ArgAvd,False
S00239,SYN-003,Fil,False
S00240,SYN-003,Fil,False
S00241,SYN-003,Fil,True
S00242,SYN-003,Fil,False
S00243,SYN-003,ArgAvd,False
S00244,SYN-003,Fil,True
S00245,SYN-003,Fil,True
S00246,SYN-003,ArgAvd,True
S00247,SYN-003,Arg,True
S00248,SYN-003,Fil,True
S00249,SYN-003,ArgAvd,True
S00250,SYN-003,Arg,True
S00251,SYN-003,Arg,True
S00252,SYN-003,Fil,True
S00253,SYN-003,Arg,True
S00254,SYN-003,Fil,False
S00255,SYN-003,ArgAvd,True
S00256,SYN-003,Fil,True
S00257,SYN-003,Arg,True
S00258,SYN-003,Fil,True
S00259,SYN-003,Fil,True
S00260,SYN-003,Fil,True
S00261,SYN-003,Arg,False
S00262,SYN-003,ArgAvd,False
S00263,SYN-003,Fil,True
S00264,SYN-003,Arg,True
S00265,SYN-003,Fil,True
S00266,SYN-003,Fil,True
S00267,SYN-003,Arg,True
S00268,SYN-003,Arg,True
S00269,SYN-003,Arg,True
S00270,SYN-003,Arg,True
S00271,SYN-003,Fil,True
S00272,SYN-003,Fil,True
S00273,SYN-003,Fil,True
S00274,SYN-003,Sk,True
S00275,SYN-003,Arg,True
S00276,SYN-003,Arg,True
S00277,SYN-003,Arg,True
S00278,SYN-003,Arg,True
S00279,SYN-003,Arg,True
S00280,SYN-003,Sk,True
S00281,SYN-003,Fil,True
S00282,SYN-003,Arg,True
S00283,SYN-003,Pro,True
S00284,SYN-003,Arg,True
S00285,SYN-003,Sk,False
S00286,SYN-003,Fil,False
S00287,SYN-003,Arg,False
S00288,SYN-003,Fil,True
S00289,SYN-003,Arg,True
S00290,SYN-003,Pro,True
S00291,SYN-003,Arg,False
S00292,SYN-003,Fil,True
S00293,SYN-003,Fil,False
S00294,SYN-003,Fil,False
S00295,SYN-003,Fil,True
S00296,SYN-003,Pro,True
S00297,SYN-003,Fil,False
S00298,SYN-003,Fil,True
S00299,SYN-003,Sk,False
S00300,SYN-003,Pro,True
S00301,SYN-003,Pro,True
S00302,SYN-003,Fil,False
S00303,SYN-003,Pro,True
S00304,SYN-003,Pro,False
S00305,SYN-003,Pro,True
S00306,SYN-003,Pro,True
S00307,SYN-003,Fil,False
S00308,SYN-003,Fil,True
S00309,SYN-003,Pro,True
S00310,SYN-003,Arg,True
S00311,SYN-003,Pro,True
S00312,SYN-003,Pro,False
S00313,SYN-003,Pro,True
S00314,SYN-003,Pro,False
S00315,SYN-003,Pro,True
S00316,SYN-003,Fil,True
S00317,SYN-003,Pro,True
S00318,SYN-003,Pro,True
S00319,SYN-004,Oxd,True
S00320,SYN-004,Oxd,True
S00321,SYN-004,Oxd,True
S00322,SYN-004,Oxd,True
S00323,SYN-004,Oxd,True
S00324,SYN-004,Oxd,True
S00325,SYN-004,Oxd,True
S00326,SYN-004,ArgAvd,True
S00327,SYN-004,Oxd,False
S00328,SYN-004,Oxd,True
S00329,SYN-004,Oxd,True
S00330,SYN-004,Oxd,True
S00331,SYN-004,Oxd,True
S00332,SYN-004,Oxd,False
S00333,SYN-004,Oxd,True
S00334,SYN-004,Oxd,True
S00335,SYN-004,Oxd,True
S00336,SYN-004,Oxd,True
S00337,SYN-004,Oxd,False
S00338,SYN-004,Fil,True
S00339,SYN-004,Oxd,True
S00340,SYN-004,Oxd,True
S00341,SYN-004,Oxd,False
S00342,SYN-004,Oxd,True
S00343,SYN-004,Oxd,True
S00344,SYN-004,Oxd,False
S00345,SYN-004,ArgAvd,True
S00346,SYN-004,ArgAvd,True
S00347,SYN-004,Oxd,True
S00348,SYN-004,ArgAvd,True
S00349,SYN-004,ArgAvd,True
S00350,SYN-004,ArgAvd,False
S00351,SYN-004,ArgAvd,True
S00352,SYN-004,ArgAvd,True
S00353,SYN-004,ArgAvd,True
S00354,SYN-004,ArgAvd,False
S00355,SYN-004,ArgAvd,True
S00356,SYN-004,Fil,True
S00357,SYN-004,ArgAvd,False
S00358,SYN-004,ArgAvd,True
S00359,SYN-004,ArgAvd,True
S00360,SYN-004,ArgAvd,False
S00361,SYN-004,ArgAvd,True
S00362,SYN-004,ArgAvd,False
S00363,SYN-004,ArgAvd,True
S00364,SYN-004,ArgAvd,True
S00365,SYN-004,ArgAvd,False
S00366,SYN-004,ArgAvd,False
S00367,SYN-004,ArgAvd,True
S00368,SYN-004,ArgAvd,True
S00369,SYN-004,ArgAvd,True
S00370,SYN-004,ArgAvd,True
S00371,SYN-004,ArgAvd,True
S00372,SYN-004,ArgAvd,True
S00373,SYN-004,ArgAvd,False
S00374,SYN-004,ArgAvd,True
S00375,SYN-004,ArgAvd,True
S00376,SYN-004,ArgAvd,True
S00377,SYN-004,ArgAvd,True
S00378,SYN-004,Sk,True
S00379,SYN-004,ArgAvd,True
S00380,SYN-004,ArgAvd,True
S00381,SYN-004,ArgAvd,True
S00382,SYN-004,ArgAvd,True
S00383,SYN-004,ArgAvd,True
S00384,SYN-004,ArgAvd,True
S00385,SYN-004,ArgAvd,False
S00386,SYN-004,Sk,False
S00387,SYN-004,Fil,True
S00388,SYN-004,Fil,True
S00389,SYN-004,ArgAvd,True
S00390,SYN-004,ArgAvd,True
S00391,SYN-004,Sk,True
S00392,SYN-004,ArgAvd,True
S00393,SYN-004,ArgAvd,False
S00394,SYN-004,ArgAvd,True
S00395,SYN-004,ArgAvd,True
S00396,SYN-004,Sk,True
S00397,SYN-004,Sk,True
S00398,SYN-004,Sk,True
S00399,SYN-004,Sk,True
S00400,SYN-004,ArgAvd,True
S00401,SYN-004,Sk,True
S00402,SYN-004,Sk,True
S00403,SYN-004,Sk,False
S00404,SYN-004,Sk,True
S00405,SYN-004,Sk,True
S00406,SYN-004,Sk,True
S00407,SYN-004,Sk,False
S00408,SYN-004,Sk,False
S00409,SYN-004,Sk,True
S00410,SYN-004,Sk,True
S00411,SYN-004,Sk,True
S00412,SYN-004,Sk,True
S00413,SYN-004,Sk,False
S00414,SYN-004,Sk,False
S00415,SYN-004,Sk,True
S00416,SYN-004,Sk,False
S00417,SYN-004,Sk,True
S00418,SYN-004,Sk,True
S00419,SYN-004,Sk,True
S00420,SYN-004,Sk,True
S00421,SYN-004,Sk,True
S00422,SYN-004,Sk,True
S00423,SYN-004,Sk,False
S00424,SYN-004,Sk,True
S00425,SYN-004,Sk,True
S00426,SYN-004,Sk,False
S00427,SYN-004,Sk,True
S00428,SYN-004,Pro,True
S00429,SYN-004,Sk,True
S00430,SYN-004,Sk,True
S00431,SYN-004,Sk,True
S00432,SYN-004,Sk,True
S00433,SYN-004,Sk,True
S00434,SYN-004,Sk,True
S00435,SYN-004,Sk,False
S00436,SYN-004,Sk,True
S00437,SYN-004,Sk,True
S00438,SYN-004,Pro,True
S00439,SYN-004,Pro,True
S00440,SYN-004,Pro,True
S00441,SYN-004,Sk,True
S00442,SYN-004,Sk,True
S00443,SYN-004,Sk,True
S00444,SYN-004,Sk,True
S00445,SYN-004,Sk,True
S00446,SYN-004,Sk,True
S00447,SYN-004,Sk,False
S00448,SYN-004,Sk,True
S00449,SYN-004,Sk,False
S00450,SYN-004,Sk,True
S00451,SYN-004,Sk,True
S00452,SYN-004,Sk,True
S00453,SYN-004,Sk,True
S00454,SYN-004,Sk,True
S00455,SYN-004,Sk,True
S00456,SYN-004,Sk,True
S00457,SYN-004,Arg,True
S00458,SYN-004,Sk,True
S00459,SYN-004,Sk,True
S00460,SYN-004,Sk,True
S00461,SYN-004,Pro,True
S00462,SYN-004,Sk,True
S00463,SYN-004,Pro,True
S00464,SYN-004,Pro,True
S00465,SYN-004,Sk,True
S00466,SYN-004,Sk,True
S00467,SYN-005,Oxd,True
S00468,SYN-005,Oxd,True
S00469,SYN-005,Oxd,True
S00470,SYN-005,Oxd,True
S00471,SYN-005,Oxd,True
S00472,SYN-005,Oxd,True
S00473,SYN-005,Oxd,False
S00474,SYN-005,Oxd,False
S00475,SYN-005,Oxd,True
S00476,SYN-005,ArgAvd,True
S00477,SYN-005,Oxd,True
S00478,SYN-005,Oxd,True
S00479,SYN-005,Oxd,True
S00480,SYN-005,Oxd,True
S00481,SYN-005,Oxd,False
S00482,SYN-005,Oxd,True
S00483,SYN-005,Oxd,True
S00484,SYN-005,Oxd,False
S00485,SYN-005,Oxd,True
S00486,SYN-005,Oxd,True
S00487,SYN-005,Oxd,True
S00488,SYN-005,Oxd,False
S00489,SYN-005,ArgAvd,True
S00490,SYN-005,ArgAvd,False
S00491,SYN-005,Fil,True
S00492,SYN-005,Oxd,False
S00493,SYN-005,Oxd,True
S00494,SYN-005,Fil,False
S00495,SYN-005,ArgAvd,True
S00496,SYN-005,Oxd,True
S00497,SYN-005,ArgAvd,True
S00498,SYN-005,Fil,True
S00499,SYN-005,ArgAvd,True
S00500,SYN-005,ArgAvd,False
S00501,SYN-005,ArgAvd,True
S00502,SYN-005,ArgAvd,True
S00503,SYN-005,ArgAvd,True
S00504,SYN-005,ArgAvd,True
S00505,SYN-005,ArgAvd,True
S00506,SYN-005,Fil,False
S00507,SYN-005,ArgAvd,True
S00508,SYN-005,ArgAvd,True
S00509,SYN-005,ArgAvd,False
S00510,SYN-005,ArgAvd,True
S00511,SYN-005,ArgAvd,True
S00512,SYN-005,ArgAvd,True
S00513,SYN-005,ArgAvd,False
S00514,SYN-005,ArgAvd,True
S00515,SYN-005,ArgAvd,True
S00516,SYN-005,ArgAvd,True
S00517,SYN-005,ArgAvd,False
S00518,SYN-005,Fil,True
S00519,SYN-005,ArgAvd,True
S00520,SYN-005,Fil,True
S00521,SYN-005,ArgAvd,False
S00522,SYN-005,Fil,False
S00523,SYN-005,ArgAvd,True
S00524,SYN-005,ArgAvd,True
S00525,SYN-005,ArgAvd,True
S00526,SYN-005,ArgAvd,True
S00527,SYN-005,ArgAvd,True
S00528,SYN-005,ArgAvd,True
S00529,SYN-005,Fil,True
S00530,SYN-005,Sk,True
S00531,SYN-005,ArgAvd,False
S00532,SYN-005,ArgAvd,True
S00533,SYN-005,Sk,False
S00534,SYN-005,ArgAvd,True
S00535,SYN-005,Fil,True
S00536,SYN-005,Sk,True
S00537,SYN-005,ArgAvd,True
S00538,SYN-005,Sk,True
S00539,SYN-005,Sk,True
S00540,SYN-005,Sk,True
S00541,SYN-005,Pro,False
S00542,SYN-005,Sk,True
S00543,SYN-005,Sk,True
S00544,SYN-005,Sk,True
S00545,SYN-005,Pro,True
S00546,SYN-005,Pro,True
S00547,SYN-005,Sk,True
S00548,SYN-005,Pro,True
S00549,SYN-005,Sk,True
S00550,SYN-005,Sk,True
S00551,SYN-005,Sk,True
S00552,SYN-005,Sk,True
S00553,SYN-005,Sk,True
S00554,SYN-005,Sk,False
S00555,SYN-005,Sk,True
S00556,SYN-005,Sk,True
S00557,SYN-005,Sk,False
S00558,SYN-005,Pro,True
S00559,SYN-005,Sk,True
S00560,SYN-005,Sk,False
S00561,SYN-006,Oxd,False
S00562,SYN-006,Oxd,True
S00563,SYN-006,Oxd,True
S00564,SYN-006,Oxd,True
S00565,SYN-006,Oxd,True
S00566,SYN-006,Oxd,True
S00567,SYN-006,Oxd,True
S00568,SYN-006,Oxd,True
S00569,SYN-006,Oxd,True
S00570,SYN-006,Oxd,True
S00571,SYN-006,Oxd,True
S00572,SYN-006,Oxd,True
S00573,SYN-006,Arg,True
S00574,SYN-006,Oxd,True
S00575,SYN-006,Oxd,True
S00576,SYN-006,Oxd,False
S00577,SYN-006,Oxd,True
S00578,SYN-006,Oxd,True
S00579,SYN-006,Oxd,True
S00580,SYN-006,Oxd,True
S00581,SYN-006,ArgAvd,True
S00582,SYN-006,Oxd,True
S00583,SYN-006,ArgAvd,True
S00584,SYN-006,ArgAvd,False
S00585,SYN-006,Oxd,True
S00586,SYN-006,Oxd,True
S00587,SYN-006,Oxd,True
S00588,SYN-006,Fil,True
S00589,SYN-006,Fil,True
S00590,SYN-006,Pro,False
S00591,SYN-006,Pro,True
S00592,SYN-006,Fil,True
S00593,SYN-006,Pro,True
S00594,SYN-006,Pro,True
S00595,SYN-006,Fil,True
S00596,SYN-006,Pro,True
S00597,SYN-006,Pro,True
S00598,SYN-006,Pro,True
S00599,SYN-006,Pro,True
S00600,SYN-006,Fil,True
S00601,SYN-006,Pro,True
S00602,SYN-006,Fil,True
S00603,SYN-006,Pro,True
S00604,SYN-006,Pro,False
S00605,SYN-006,Pro,True
S00606,SYN-006,Pro,True
S00607,SYN-006,Pro,True
S00608,SYN-006,Fil,True
S00609,SYN-006,Pro,True
S00610,SYN-006,Fil,True
S00611,SYN-006,Pro,True
S00612,SYN-006,Pro,False
S00613,SYN-006,Pro,False
S00614,SYN-006,Pro,True
S00615,SYN-006,Pro,True
S00616,SYN-006,Pro,True
S00617,SYN-006,Pro,True
S00618,SYN-006,Pro,True
S00619,SYN-006,Pro,True
S00620,SYN-006,Pro,True
S00621,SYN-006,Pro,True
S00622,SYN-006,Pro,True
S00623,SYN-006,Pro,True
S00624,SYN-006,Fil,True
S00625,SYN-006,Pro,True
S00626,SYN-006,Pro,False
S00627,SYN-006,Pro,True
S00628,SYN-006,Pro,False
S00629,SYN-006,Pro,True
S00630,SYN-006,Pro,True
S00631,SYN-006,Fil,True
S00632,SYN-006,Pro,True
S00633,SYN-006,Pro,True
S00634,SYN-006,Pro,True
S00635,SYN-006,Pro,True
S00636,SYN-006,Pro,True
S00637,SYN-006,Pro,True
S00638,SYN-006,Pro,True
S00639,SYN-006,Pro,True
S00640,SYN-006,Pro,True
S00641,SYN-006,Pro,True
S00642,SYN-006,Fil,True
S00643,SYN-006,Pro,True
S00644,SYN-006,Pro,True
S00645,SYN-006,Pro,True
S00646,SYN-006,Pro,True
S00647,SYN-006,Pro,True
S00648,SYN-006,Fil,True
S00649,SYN-006,Pro,True
S00650,SYN-006,Pro,True
S00651,SYN-006,Pro,True
S00652,SYN-006,Fil,False
S00653,SYN-006,Pro,True
S00654,SYN-006,Pro,True
S00655,SYN-006,Fil,True
S00656,SYN-006,Pro,False
S00657,SYN-006,Pro,True
S00658,SYN-006,Pro,True
S00659,SYN-006,Pro,True
S00660,SYN-006,Fil,False
S00661,SYN-006,Pro,False
S00662,SYN-006,Pro,True
S00663,SYN-006,Pro,True
S00664,SYN-006,Pro,True
S00665,SYN-006,Pro,True
S00666,SYN-006,Pro,True
S00667,SYN-006,Fil,False
S00668,SYN-006,Fil,True
S00669,SYN-006,Pro,True
S00670,SYN-006,Pro,True
S00671,SYN-006,Pro,True
S00672,SYN-006,Pro,True
S00673,SYN-006,Pro,True
S00674,SYN-006,Pro,True
S00675,SYN-006,Pro,True
S00676,SYN-006,Pro,False
S00677,SYN-006,Pro,True
S00678,SYN-006,Pro,True
S00679,SYN-006,Pro,True
S00680,SYN-006,Pro,False
S00681,SYN-006,Fil,True
S00682,SYN-006,Pro,True
S00683,SYN-006,Pro,True
S00684,SYN-006,Fil,True
S00685,SYN-006,Pro,True
S00686,SYN-006,Fil,True
S00687,SYN-006,Pro,True
S00688,SYN-006,Pro,True
S00689,SYN-006,Pro,True
S00690,SYN-006,Pro,True
S00691,SYN-006,Pro,True
S00692,SYN-006,Pro,True
S00693,SYN-006,Pro,True
S00694,SYN-006,Pro,True
S00695,SYN-006,Pro,True
S00696,SYN-006,Pro,True
S00697,SYN-006,Pro,False
S00698,SYN-006,Pro,True
S00699,SYN-006,Pro,True
S00700,SYN-006,Pro,False
S00701,SYN-006,Fil,False
S00702,SYN-006,Pro,False
S00703,SYN-006,Fil,True
S00704,SYN-006,Pro,False
S00705,SYN-006,Pro,True
S00706,SYN-006,Pro,True
S00707,SYN-006,Pro,True
S00708,SYN-006,Pro,True
S00709,SYN-006,Pro,False
S00710,SYN-006,Pro,True
S00711,SYN-006,Pro,True
S00712,SYN-006,Pro,True
S00713,SYN-006,Pro,True
S00714,SYN-006,Pro,True
S00715,SYN-006,Pro,True
S00716,SYN-006,Pro,True
S00717,SYN-006,Pro,True
S00718,SYN-006,Pro,True
S00719,SYN-007,Oxd,True
S00720,SYN-007,ArgAvd,True
S00721,SYN-007,Oxd,False
S00722,SYN-007,Oxd,True
S00723,SYN-007,Oxd,True
S00724,SYN-007,Oxd,True
S00725,SYN-007,ArgAvd,True
S00726,SYN-007,Oxd,False
S00727,SYN-007,Oxd,True
S00728,SYN-007,ArgAvd,True
S00729,SYN-007,Oxd,True
S00730,SYN-007,Oxd,True
S00731,SYN-007,Oxd,True
S00732,SYN-007,Oxd,True
S00733,SYN-007,Oxd,True
S00734,SYN-007,Oxd,True
S00735,SYN-007,Oxd,True
S00736,SYN-007,ArgAvd,True
S00737,SYN-007,Oxd,False
S00738,SYN-007,Oxd,True
S00739,SYN-007,Oxd,True
S00740,SYN-007,Oxd,True
S00741,SYN-007,Oxd,True
S00742,SYN-007,ArgAvd,False
S00743,SYN-007,Fil,True
S00744,SYN-007,ArgAvd,False
S00745,SYN-007,ArgAvd,True
S00746,SYN-007,ArgAvd,True
S00747,SYN-007,ArgAvd,True
S00748,SYN-007,Oxd,True
S00749,SYN-007,ArgAvd,True
S00750,SYN-007,ArgAvd,True
S00751,SYN-007,ArgAvd,True
S00752,SYN-007,ArgAvd,True
S00753,SYN-007,ArgAvd,True
S00754,SYN-007,ArgAvd,True
S00755,SYN-007,ArgAvd,True
S00756,SYN-007,ArgAvd,True
S00757,SYN-007,ArgAvd,False
S00758,SYN-007,ArgAvd,True
S00759,SYN-007,Fil,True
S00760,SYN-007,Fil,False
S00761,SYN-007,ArgAvd,True
S00762,SYN-007,ArgAvd,True
S00763,SYN-007,Fil,False
S00764,SYN-007,ArgAvd,True
S00765,SYN-007,Fil,True
S00766,SYN-007,ArgAvd,False
S00767,SYN-007,Fil,True
S00768,SYN-007,ArgAvd,False
S00769,SYN-007,ArgAvd,True
S00770,SYN-007,ArgAvd,True
S00771,SYN-007,ArgAvd,True
S00772,SYN-007,ArgAvd,True
S00773,SYN-007,ArgAvd,False
S00774,SYN-007,Fil,True
S00775,SYN-007,ArgAvd,False
S00776,SYN-007,ArgAvd,False
S00777,SYN-007,ArgAvd,True
S00778,SYN-007,ArgAvd,True
S00779,SYN-007,ArgAvd,True
S00780,SYN-007,Fil,True
S00781,SYN-007,ArgAvd,False
S00782,SYN-007,ArgAvd,True
S00783,SYN-007,Fil,True
S00784,SYN-007,Pro,True
S00785,SYN-007,ArgAvd,True
S00786,SYN-007,ArgAvd,False
S00787,SYN-007,ArgAvd,True
S00788,SYN-007,ArgAvd,True
S00789,SYN-007,ArgAvd,True
S00790,SYN-007,ArgAvd,True
S00791,SYN-007,Sk,True
S00792,SYN-007,Fil,True
S00793,SYN-007,Sk,True
S00794,SYN-007,Sk,True
S00795,SYN-007,Sk,False
S00796,SYN-007,Sk,True
S00797,SYN-007,ArgAvd,True
S00798,SYN-007,Sk,False
S00799,SYN-007,Sk,True
S00800,SYN-007,Sk,True
S00801,SYN-007,Sk,False
S00802,SYN-007,Pro,True
S00803,SYN-007,Sk,True
S00804,SYN-007,Sk,True
S00805,SYN-007,Sk,True
S00806,SYN-007,Sk,True
S00807,SYN-007,Sk,False
S00808,SYN-007,Sk,True
S00809,SYN-007,Sk,False
S00810,SYN-007,Sk,True
S00811,SYN-007,Sk,False
S00812,SYN-007,Sk,True
S00813,SYN-007,Sk,True
S00814,SYN-007,Sk,True
S00815,SYN-007,Sk,True
S00816,SYN-007,Pro,True
S00817,SYN-007,Sk,True
S00818,SYN-007,Sk,False
S00819,SYN-007,Sk,True
S00820,SYN-007,Sk,True
S00821,SYN-007,Pro,True
S00822,SYN-007,Pro,True
S00823,SYN-007,Sk,False
S00824,SYN-007,Sk,True
S00825,SYN-007,Sk,True
S00826,SYN-007,Sk,True
S00827,SYN-007,Sk,True
S00828,SYN-007,Sk,True
S00829,SYN-007,Pro,True
S00830,SYN-007,Sk,True
S00831,SYN-007,Pro,False
S00832,SYN-007,Sk,True
