sample_id,holeid,from_m,to_m,x,y,z,depth_m,WhiteMica,Chlorite,Carbonate,Epidote,Kaolinite,Dickite,Montmor,Alunite,Gypsum,Pyrophyllite,Diaspore,Zunyite,Water_silica,Hematite,Goethite,VNIRMinerals,aiMineral1
S00015,SYN-001,21.0,22.0,113.5,-8.07,21.5,21.5,3.74,20.23,0.83,0.0,9.23,1.16,2.75,7.21,11.69,3.68,30.52,25.76,26.82,55.28,17.65,Hematite,Diaspore
S00016,SYN-001,22.0,23.5,114.28,-9.01,22.75,22.75,8.13,32.31,0.0,0.0,12.86,0.0,0.0,5.97,11.28,0.0,4.89,4.5,12.54,60.73,42.06,Hematite,Chlorite
S00017,SYN-001,23.5,24.5,115.05,-9.96,24.0,24.0,0.0,0.0,2.66,0.48,7.83,15.01,0.0,25.21,4.99,100.0,20.45,1.68,12.01,0.0,3.46,None,Pyrophyllite
S00018,SYN-001,24.5,26.0,115.82,-10.91,25.25,25.25,4.86,1.48,1.77,1.89,22.22,0.0,0.0,5.64,38.48,0.94,0.0,0.07,17.64,37.37,44.67,Goethite,Gypsum
S00019,SYN-001,26.0,27.5,116.74,-12.05,26.75,26.75,3.79,0.93,0.71,0.0,15.87,0.0,0.0,3.53,14.26,4.94,18.65,0.0,31.59,24.98,28.14,Goethite,Water_silica
S00020,SYN-001,27.5,28.5,117.51,-13.0,28.0,28.0,32.91,2.69,3.87,0.0,18.41,0.0,0.68,8.04,6.24,8.47,0.0,23.11,18.93,57.32,7.88,Hematite,WhiteMica
S00021,SYN-001,28.5,29.5,118.13,-13.76,29.0,29.0,3.58,0.0,1.19,0.0,1.7,2.48,5.23,7.4,4.37,2.37,0.01,1.48,0.25,67.21,20.68,Hematite,Alunite
S00022,SYN-001,29.5,31.0,118.9,-14.71,30.25,30.25,5.11,0.75,0.09,2.24,14.84,0.0,0.0,3.27,17.71,0.0,3.79,1.89,9.35,49.09,21.42,Hematite,Gypsum
S00023,SYN-001,31.0,32.0,119.67,-15.66,31.5,31.5,6.29,6.19,0.58,5.08,5.73,3.66,3.39,37.31,9.19,0.48,0.0,7.32,13.11,28.23,31.22,Goethite,Alunite
S00024,SYN-001,32.0,34.0,120.6,-16.8,33.0,33.0,4.27,18.75,5.51,0.0,17.54,3.24,0.5,15.66,14.22,5.49,2.38,2.73,10.31,21.9,21.97,Goethite,Chlorite
S00025,SYN-001,34.0,35.5,121.68,-18.12,34.75,34.75,34.54,0.0,0.0,0.0,5.6,3.16,0.32,41.41,0.0,84.15,12.48,11.52,12.69,8.34,3.92,None,Pyrophyllite
S00026,SYN-001,35.5,37.0,122.6,-19.26,36.25,36.25,21.56,5.82,4.05,4.36,48.31,10.01,22.26,0.26,1.31,5.01,0.38,0.0,0.0,0.0,4.28,None,Kaolinite
S00027,SYN-001,37.0,38.5,123.53,-20.4,37.75,37.75,5.48,0.0,1.41,0.0,2.99,11.33,2.7,28.97,0.0,70.95,65.7,13.08,12.59,0.86,7.32,None,Pyrophyllite
S00028,SYN-001,38.5,39.5,124.3,-21.35,39.0,39.0,33.61,2.74,0.0,0.89,16.11,0.06,0.23,2.87,17.7,0.62,0.0,0.0,20.63,52.67,23.36,Hematite,WhiteMica
S00029,SYN-001,39.5,41.5,125.22,-22.49,40.5,40.5,10.14,2.18,0.0,1.59,12.72,29.96,2.49,7.59,6.42,3.28,5.91,4.07,27.85,12.4,0.0,None,Dickite
S00030,SYN-001,41.5,43.0,126.3,-23.82,42.25,42.25,5.45,0.29,1.29,0.0,6.66,0.0,0.0,13.97,7.61,3.25,1.49,0.0,29.33,15.6,39.07,Goethite,Water_silica
S00031,SYN-001,43.0,45.0,127.38,-25.15,44.0,44.0,59.9,1.8,0.0,0.0,13.24,2.04,6.27,2.74,9.89,4.98,0.41,4.3,3.25,2.92,2.78,None,WhiteMica
S00032,SYN-001,45.0,46.0,128.31,-26.29,45.5,45.5,3.29,2.88,3.8,1.72,4.31,13.48,1.97,75.27,2.4,7.04,14.35,3.67,7.83,2.61,2.21,None,Alunite
S00033,SYN-001,46.0,47.5,129.08,-27.23,46.75,46.75,85.8,8.42,0.82,0.0,12.17,31.47,2.41,0.42,21.93,3.35,1.19,0.0,2.64,3.54,2.44,None,WhiteMica
S00034,SYN-001,47.5,49.0,130.01,-28.37,48.25,48.25,82.34,1.49,0.0,0.93,30.17,7.05,8.01,6.59,20.26,2.2,4.02,0.0,8.13,0.0,0.0,None,WhiteMica
S00035,SYN-001,49.0,51.0,131.08,-29.7,50.0,50.0,9.42,0.0,1.4,2.3,25.67,16.98,30.23,0.0,3.78,0.0,0.0,0.0,0.25,0.0,5.32,None,Montmor
S00036,SYN-001,51.0,52.5,132.16,-31.03,51.75,51.75,7.75,0.0,2.17,0.0,4.98,13.37,1.25,11.75,2.1,100.0,16.27,10.09,9.36,2.25,0.47,None,Pyrophyllite
S00037,SYN-001,52.5,54.0,133.09,-32.17,53.25,53.25,5.54,1.98,0.17,0.0,6.07,10.83,30.43,50.77,1.23,64.7,19.7,9.79,3.23,0.0,5.56,None,Pyrophyllite
S00038,SYN-001,54.0,55.5,134.01,-33.31,54.75,54.75,4.75,1.26,1.05,1.36,10.3,9.07,0.76,24.34,0.0,27.79,23.4,7.94,3.49,0.18,0.72,None,Pyrophyllite
S00039,SYN-001,55.5,57.0,134.94,-34.45,56.25,56.25,1.45,27.39,1.65,3.14,38.35,7.53,3.33,62.41,31.06,100.0,23.32,33.34,10.78,0.0,0.0,None,Pyrophyllite
S00040,SYN-001,57.0,58.5,135.87,-35.59,57.75,57.75,22.62,0.0,3.96,2.96,88.61,20.03,5.74,1.03,0.12,0.0,0.0,1.83,1.31,0.0,0.0,None,Kaolinite
S00041,SYN-001,58.5,60.0,136.79,-36.72,59.25,59.25,99.4,2.65,0.0,2.53,4.53,7.86,6.73,4.25,6.84,0.0,0.0,0.0,3.04,0.0,5.12,None,WhiteMica
S00042,SYN-001,60.0,61.0,137.56,-37.67,60.5,60.5,3.26,0.0,4.45,2.57,45.28,22.55,5.21,0.31,5.62,3.34,0.0,4.36,32.3,0.0,6.15,None,Kaolinite
S00043,SYN-001,61.0,63.0,138.49,-38.81,62.0,62.0,16.24,31.26,0.0,15.64,62.36,14.84,4.76,0.0,3.5,34.87,2.34,0.0,1.72,1.08,3.87,None,Kaolinite
S00044,SYN-001,63.0,65.0,139.72,-40.33,64.0,64.0,100.0,0.0,1.4,2.82,7.89,4.63,5.57,7.46,3.48,25.09,0.0,0.0,3.17,4.83,0.35,None,WhiteMica
S00045,SYN-001,65.0,66.0,140.65,-41.47,65.5,65.5,4.6,0.0,4.6,2.02,7.52,32.73,0.0,4.98,3.3,2.36,0.6,0.0,4.36,7.08,0.0,None,Dickite
S00046,SYN-001,66.0,67.5,141.42,-42.42,66.75,66.75,26.85,0.48,1.45,3.21,7.77,7.66,1.69,0.0,5.24,2.28,1.22,0.0,0.6,4.31,1.79,None,WhiteMica
S00047,SYN-001,67.5,68.5,142.19,-43.37,68.0,68.0,16.43,6.86,0.0,0.0,40.78,13.36,6.0,0.0,3.93,4.56,0.0,1.38,4.62,2.6,5.21,None,Kaolinite
S00048,SYN-001,68.5,70.0,142.96,-44.32,69.25,69.25,10.81,1.3,5.97,0.0,34.22,6.45,4.8,6.27,8.42,0.8,19.58,1.39,2.84,4.55,2.24,None,Kaolinite
S00049,SYN-001,70.0,71.5,143.88,-45.45,70.75,70.75,74.49,2.02,0.79,14.85,4.22,9.2,4.94,1.87,6.22,1.91,1.25,0.96,9.61,1.61,0.0,None,WhiteMica
S00050,SYN-001,71.5,73.0,144.81,-46.59,72.25,72.25,49.98,1.09,4.11,1.07,51.07,14.42,15.45,3.2,0.0,1.02,1.38,6.99,0.0,2.64,0.71,None,Kaolinite
S00051,SYN-001,73.0,74.5,145.74,-47.73,73.75,73.75,39.91,0.0,1.28,1.23,8.13,5.57,7.35,6.41,11.12,1.47,0.0,0.0,6.74,3.8,3.42,None,WhiteMica
S00052,SYN-001,74.5,76.5,146.81,-49.06,75.5,75.5,45.23,34.41,0.0,1.51,6.74,3.76,0.0,6.77,7.52,0.45,0.25,2.48,6.49,3.35,5.96,None,WhiteMica
S00053,SYN-001,76.5,77.5,147.74,-50.2,77.0,77.0,25.11,1.77,3.12,0.58,3.8,4.5,6.43,54.12,2.89,52.56,0.0,9.7,11.3,4.39,4.52,None,Alunite
S00054,SYN-001,77.5,79.5,148.67,-51.34,78.5,78.5,40.61,1.45,4.21,0.7,68.52,22.41,14.56,0.19,4.12,0.0,1.72,27.66,32.26,3.7,0.82,None,Kaolinite
S00055,SYN-001,79.5,80.5,149.59,-52.48,80.0,80.0,27.66,2.58,1.84,1.89,96.77,14.81,6.82,29.16,3.4,2.96,26.52,0.0,0.66,0.16,2.87,None,Kaolinite
S00056,SYN-001,80.5,81.5,150.21,-53.24,81.0,81.0,86.78,0.0,0.33,0.29,7.06,8.93,3.1,6.38,4.77,2.4,1.64,1.6,6.52,3.61,5.48,None,WhiteMica
S00057,SYN-001,81.5,83.0,150.98,-54.19,82.25,82.25,36.34,0.91,2.18,0.87,73.73,31.58,6.49,1.32,1.61,21.68,3.3,2.56,1.68,0.13,23.34,Goethite,Kaolinite
S00058,SYN-001,83.0,84.5,151.9,-55.32,83.75,83.75,58.64,30.0,3.43,0.0,86.19,10.51,0.27,2.42,4.56,5.37,0.07,1.69,1.26,3.83,0.0,None,Kaolinite
S00059,SYN-001,84.5,86.5,152.98,-56.65,85.5,85.5,33.14,2.18,3.39,0.0,30.97,11.14,4.42,2.83,3.0,0.0,2.01,0.06,1.9,0.98,1.23,None,WhiteMica
S00060,SYN-001,86.5,88.5,154.22,-58.17,87.5,87.5,67.99,29.38,0.0,13.49,8.34,5.16,7.09,5.68,0.0,2.59,2.85,32.79,6.53,0.0,0.0,None,WhiteMica
S00061,SYN-001,88.5,90.0,155.3,-59.5,89.25,89.25,44.24,3.54,0.0,0.0,27.81,3.87,4.16,4.08,1.81,14.58,3.7,5.82,3.94,0.0,3.71,None,WhiteMica
S00062,SYN-001,90.0,92.0,156.38,-60.83,91.0,91.0,40.39,0.0,0.44,3.04,8.58,14.09,5.09,2.04,4.74,0.51,0.0,0.0,4.21,7.4,6.24,None,WhiteMica
S00063,SYN-001,92.0,93.5,157.46,-62.16,92.75,92.75,14.75,0.96,3.59,0.0,67.01,7.94,6.42,4.22,5.55,3.08,0.0,3.2,0.0,0.0,6.65,None,Kaolinite
S00064,SYN-001,93.5,95.0,158.38,-63.3,94.25,94.25,14.11,3.05,0.33,0.62,100.0,8.62,5.95,1.32,1.29,0.0,3.6,0.0,0.0,4.37,2.79,None,Kaolinite
S00065,SYN-001,95.0,96.5,159.31,-64.43,95.75,95.75,25.14,0.21,0.0,2.0,8.26,8.41,14.47,2.97,5.28,2.74,0.51,1.53,4.79,3.69,0.74,None,WhiteMica
S00066,SYN-001,96.5,98.5,160.39,-65.76,97.5,97.5,28.62,3.52,1.81,0.0,41.05,11.66,8.77,0.61,4.27,0.0,0.0,0.08,2.77,37.99,2.42,Hematite,Kaolinite
S00067,SYN-001,98.5,99.5,161.31,-66.9,99.0,99.0,58.03,0.0,1.41,2.44,6.57,9.91,0.97,7.71,26.36,0.0,0.0,2.28,5.88,0.0,3.32,None,WhiteMica
S00068,SYN-001,99.5,100.5,161.93,-67.66,100.0,100.0,21.96,4.45,1.7,0.0,98.03,9.56,10.79,3.38,4.22,4.08,3.08,0.26,0.0,0.95,6.07,None,Kaolinite
S00069,SYN-001,100.5,102.0,162.7,-68.61,101.25,101.25,24.18,36.47,0.0,0.0,25.86,34.91,5.38,0.0,7.11,0.0,0.38,0.0,0.0,0.0,3.88,None,Chlorite
S00070,SYN-001,102.0,104.0,163.78,-69.94,103.0,103.0,19.54,2.09,0.0,35.49,30.09,15.64,13.17,0.19,6.1,1.85,0.0,0.88,2.81,4.46,0.0,None,Epidote
S00071,SYN-001,104.0,106.0,165.01,-71.46,105.0,105.0,37.34,3.08,6.79,0.6,70.98,13.42,9.24,28.99,3.13,1.25,0.09,0.0,0.0,5.7,4.97,None,Kaolinite
S00072,SYN-001,106.0,107.5,166.09,-72.78,106.75,106.75,38.05,0.0,0.0,2.79,93.57,14.65,11.2,5.73,2.94,27.06,3.04,2.54,3.4,1.88,0.0,None,Kaolinite
S00073,SYN-001,107.5,109.5,167.17,-74.11,108.5,108.5,5.27,34.54,15.26,0.0,1.39,3.03,17.08,0.58,0.0,4.75,0.0,19.44,0.76,7.35,3.45,None,Chlorite
S00074,SYN-001,109.5,111.5,168.4,-75.63,110.5,110.5,28.08,0.0,2.12,3.12,90.23,43.73,25.01,6.41,4.37,0.0,6.97,8.46,0.08,2.65,7.17,None,Kaolinite
S00075,SYN-001,111.5,113.0,169.48,-76.96,112.25,112.25,28.8,0.89,2.65,1.99,3.65,22.05,9.97,0.76,1.19,2.09,5.86,0.0,20.9,1.48,0.0,None,WhiteMica
S00076,SYN-001,113.0,114.5,170.41,-78.1,113.75,113.75,27.19,0.0,1.06,3.21,62.4,7.27,9.63,3.11,1.57,4.28,0.0,2.19,1.84,2.24,2.66,None,Kaolinite
S00077,SYN-001,114.5,116.5,171.49,-79.43,115.5,115.5,89.29,28.64,0.0,0.88,9.3,6.49,7.65,3.68,5.48,3.46,21.3,2.66,3.79,3.2,2.81,None,WhiteMica
S00078,SYN-001,116.5,118.0,172.57,-80.76,117.25,117.25,6.37,2.22,2.88,1.24,23.19,15.82,13.28,2.95,2.83,13.4,3.2,1.56,0.0,0.0,2.98,None,Kaolinite
S00079,SYN-001,118.0,119.5,173.49,-81.9,118.75,118.75,57.34,3.38,19.77,1.16,5.42,3.29,3.79,2.04,6.6,0.0,4.12,6.02,8.27,2.65,5.03,None,WhiteMica
S00080,SYN-001,119.5,120.5,174.27,-82.84,120.0,120.0,37.34,1.58,2.22,0.0,4.08,10.14,7.73,4.1,5.21,4.0,0.11,0.0,0.75,1.59,1.28,None,WhiteMica
S00081,SYN-001,120.5,122.0,175.04,-83.79,121.25,121.25,6.36,28.55,10.41,10.33,2.86,1.26,22.47,2.05,3.78,0.46,7.69,2.84,0.24,1.33,4.66,None,Chlorite
S00082,SYN-001,122.0,123.5,175.96,-84.93,122.75,122.75,5.82,4.21,21.0,6.02,1.86,0.56,24.86,3.81,1.49,0.0,0.0,0.0,1.5,1.66,2.31,None,Montmor
S00083,SYN-001,123.5,125.5,177.04,-86.26,124.5,124.5,6.73,42.08,22.64,49.23,33.73,0.0,48.22,0.89,1.93,18.17,2.57,2.02,1.54,4.43,3.3,None,Epidote
S00084,SYN-001,125.5,126.5,177.97,-87.4,126.0,126.0,13.78,3.82,2.02,21.81,33.28,7.47,10.35,1.67,0.0,0.0,0.08,1.69,0.0,2.0,0.0,None,Kaolinite
S00085,SYN-001,126.5,127.5,178.58,-88.16,127.0,127.0,15.44,0.0,0.0,3.26,59.02,16.62,11.07,4.24,1.53,2.78,0.0,0.01,0.62,0.0,27.13,Goethite,Kaolinite
S00086,SYN-001,127.5,129.5,179.51,-89.3,128.5,128.5,1.93,4.87,0.0,2.46,4.8,7.02,8.66,5.87,5.27,0.0,0.0,0.0,4.2,2.17,3.39,None,Montmor
S00087,SYN-001,129.5,130.5,180.43,-90.44,130.0,130.0,82.86,1.41,1.4,1.35,31.83,6.59,30.69,5.78,11.29,5.15,1.62,9.36,7.76,1.37,4.46,None,WhiteMica
S00088,SYN-001,130.5,131.5,181.05,-91.19,131.0,131.0,27.59,2.29,2.54,3.59,78.21,16.92,6.1,0.0,28.96,3.2,3.71,11.7,1.34,2.0,5.8,None,Kaolinite
S00089,SYN-001,131.5,133.0,181.82,-92.14,132.25,132.25,38.79,0.0,3.32,0.29,3.36,4.91,4.92,0.28,6.18,0.0,5.24,0.0,7.49,1.79,2.28,None,WhiteMica
S00090,SYN-001,133.0,135.0,182.9,-93.47,134.0,134.0,28.05,0.0,3.54,3.37,1.91,9.05,3.79,5.7,5.63,2.01,0.0,0.23,3.74,2.86,2.36,None,WhiteMica
S00091,SYN-001,135.0,136.0,183.83,-94.61,135.5,135.5,13.23,0.93,2.49,2.81,9.81,3.01,3.62,4.72,3.32,0.29,2.68,0.0,27.59,0.0,0.0,None,Water_silica
S00092,SYN-001,136.0,137.5,184.6,-95.56,136.75,136.75,20.44,23.0,1.07,26.31,12.59,2.75,9.92,2.14,5.99,2.36,0.06,2.24,5.76,0.0,3.43,None,Epidote
S00093,SYN-001,137.5,139.5,185.68,-96.89,138.5,138.5,6.19,36.13,12.52,7.88,22.43,0.0,29.33,20.02,0.3,0.0,0.0,1.19,0.0,1.75,6.42,None,Chlorite
S00094,SYN-001,139.5,141.5,186.91,-98.41,140.5,140.5,2.25,15.07,13.48,5.27,0.92,0.61,8.27,5.59,0.16,2.85,4.23,1.55,2.81,1.32,2.85,None,Chlorite
S00095,SYN-001,141.5,143.0,187.99,-99.74,142.25,142.25,0.19,30.09,6.01,4.35,0.0,0.75,35.51,0.0,2.44,0.22,0.92,4.09,0.0,0.0,0.92,None,Montmor
S00096,SYN-001,143.0,144.0,188.76,-100.68,143.5,143.5,4.99,56.04,3.01,10.24,0.0,0.0,0.0,0.37,5.72,0.44,15.34,1.92,1.62,20.31,5.21,Hematite,Chlorite
S00097,SYN-001,144.0,145.0,189.38,-101.44,144.5,144.5,32.91,4.67,0.0,1.32,10.01,11.12,4.47,0.94,4.71,5.51,1.48,34.79,10.43,2.6,0.0,None,Zunyite
S00098,SYN-001,145.0,146.0,190.0,-102.2,145.5,145.5,7.51,42.09,14.26,7.01,0.0,1.82,14.41,4.44,0.0,0.0,3.61,4.76,6.06,0.85,1.47,None,Chlorite
S00099,SYN-001,146.0,147.0,190.61,-102.96,146.5,146.5,5.02,49.58,52.81,13.28,4.13,6.36,19.41,30.26,0.35,3.89,0.79,0.0,0.0,2.81,1.32,None,Carbonate
S00100,SYN-001,147.0,148.5,191.38,-103.91,147.75,147.75,9.34,23.24,11.87,7.24,1.12,5.19,15.38,0.0,0.0,0.0,3.05,0.97,1.6,2.65,30.6,Goethite,Chlorite
S00101,SYN-001,148.5,149.5,192.15,-104.86,149.0,149.0,51.77,1.26,0.99,0.0,6.26,3.67,7.63,6.58,10.86,1.79,3.23,1.18,3.0,3.76,3.57,None,WhiteMica
S00102,SYN-001,149.5,151.0,192.93,-105.81,150.25,150.25,26.45,24.52,5.33,1.55,1.82,8.59,6.21,6.82,7.54,3.55,4.24,2.01,5.52,0.0,1.53,None,WhiteMica
S00103,SYN-001,151.0,152.5,193.85,-106.95,151.75,151.75,5.87,30.32,26.28,13.09,0.65,1.41,43.99,0.66,17.35,19.58,0.93,0.0,0.13,2.04,18.06,Goethite,Montmor
S00104,SYN-001,152.5,154.0,194.78,-108.09,153.25,153.25,9.66,30.71,14.52,3.03,3.13,1.5,16.63,0.75,0.0,1.68,0.0,0.0,0.0,7.2,34.75,Goethite,Chlorite
S00105,SYN-002,0.0,1.0,150.33,63.9,0.5,0.5,5.03,0.0,0.0,0.0,7.82,0.0,5.37,5.2,24.22,0.0,26.18,0.0,29.9,45.97,12.46,Hematite,Water_silica
S00106,SYN-002,1.0,3.0,150.62,62.64,2.0,2.0,5.53,2.34,2.43,17.7,8.19,2.57,2.54,9.58,11.4,5.93,0.0,3.79,40.26,71.65,18.56,Hematite,Water_silica
S00107,SYN-002,3.0,4.5,150.96,61.17,3.75,3.75,7.23,0.0,1.06,0.0,13.43,0.68,3.83,9.41,20.42,2.27,1.74,3.3,16.79,63.72,33.92,Hematite,Gypsum
S00108,SYN-002,4.5,6.0,151.25,59.92,5.25,5.25,34.58,0.39,1.84,12.54,29.88,0.0,0.56,10.37,29.8,1.13,0.0,3.92,17.86,77.22,38.34,Hematite,WhiteMica
S00109,SYN-002,6.0,7.0,151.49,58.87,6.5,6.5,7.15,1.19,1.49,0.69,16.39,0.92,2.44,14.6,15.51,0.79,1.44,0.0,42.36,2.51,27.52,Goethite,Water_silica
S00110,SYN-002,7.0,8.0,151.68,58.03,7.5,7.5,6.69,0.08,0.94,2.01,17.25,4.5,3.53,1.56,8.57,0.0,0.0,6.76,45.21,20.47,31.89,Goethite,Water_silica
S00111,SYN-002,8.0,10.0,151.97,56.78,9.0,9.0,0.81,0.0,0.0,3.44,10.96,6.91,1.93,44.24,3.44,75.65,32.31,12.63,1.73,2.6,3.5,None,Pyrophyllite
S00112,SYN-002,10.0,11.5,152.31,55.31,10.75,10.75,1.17,6.63,0.0,0.0,19.68,4.4,0.97,8.69,14.8,0.0,0.0,3.49,17.57,38.71,39.31,Goethite,Kaolinite
S00113,SYN-002,11.5,13.0,152.6,54.06,12.25,12.25,10.84,5.76,1.64,0.87,12.14,2.27,0.0,6.2,12.81,0.0,6.35,0.0,11.35,75.35,0.0,Hematite,Gypsum
S00114,SYN-002,13.0,14.5,152.89,52.8,13.75,13.75,9.94,3.78,0.0,0.0,12.08,34.61,21.85,7.86,14.42,6.88,4.71,6.75,28.46,56.29,38.36,Hematite,Dickite
S00115,SYN-002,14.5,16.0,153.18,51.55,15.25,15.25,3.84,28.91,0.0,0.0,9.57,2.5,0.14,8.16,18.52,3.79,4.85,2.64,8.56,58.3,32.01,Hematite,Chlorite
S00116,SYN-002,16.0,18.0,153.52,50.08,17.0,17.0,7.26,3.3,0.0,2.74,5.79,5.67,4.41,29.68,0.3,47.22,31.04,12.95,3.38,5.72,3.37,None,Pyrophyllite
S00117,SYN-002,18.0,19.5,153.85,48.62,18.75,18.75,2.97,6.0,2.42,3.17,14.24,0.0,1.77,6.94,19.24,0.0,3.33,1.16,20.74,47.84,23.19,Hematite,Water_silica
S00118,SYN-002,19.5,21.5,154.19,47.15,20.5,20.5,24.58,2.75,4.17,1.02,12.21,4.12,0.79,4.09,1.37,16.12,2.22,0.0,18.04,31.15,32.51,Goethite,WhiteMica
S00119,SYN-002,21.5,22.5,154.48,45.89,22.0,22.0,2.15,0.0,7.07,5.37,7.41,3.58,0.0,4.33,21.5,4.61,4.87,15.74,15.92,34.24,14.96,Hematite,Gypsum
S00120,SYN-002,22.5,24.0,154.72,44.85,23.25,23.25,9.68,1.28,0.13,1.02,9.36,6.03,2.9,46.18,15.72,15.74,2.02,3.11,34.13,10.18,24.69,Goethite,Alunite
S00121,SYN-002,24.0,25.5,155.01,43.59,24.75,24.75,4.74,3.6,0.0,3.62,8.43,0.0,0.05,3.03,10.39,2.53,20.67,0.0,23.09,50.31,0.0,Hematite,Water_silica
S00122,SYN-002,25.5,26.5,155.25,42.55,26.0,26.0,10.38,0.0,2.51,3.19,6.73,0.0,0.0,12.42,18.63,17.75,4.67,0.61,26.97,29.62,10.8,Hematite,Water_silica
S00123,SYN-002,26.5,27.5,155.45,41.71,27.0,27.0,3.77,1.55,5.87,1.17,9.62,2.58,3.55,4.27,7.38,25.12,3.24,0.95,9.07,58.04,17.04,Hematite,Pyrophyllite
S00124,SYN-002,27.5,29.0,155.69,40.66,28.25,28.25,5.06,0.0,5.3,4.07,7.82,4.94,0.11,41.8,5.48,69.05,28.14,9.76,4.65,3.74,1.33,None,Pyrophyllite
S00125,SYN-002,29.0,31.0,156.03,39.2,30.0,30.0,5.7,1.99,5.03,0.0,4.16,0.52,2.58,8.34,7.68,2.43,2.31,0.0,27.0,37.74,14.64,Hematite,Water_silica
S00126,SYN-002,31.0,32.5,156.36,37.73,31.75,31.75,9.42,0.0,0.0,0.94,12.13,3.7,0.0,15.09,20.67,0.14,3.19,31.45,29.87,36.4,25.21,Hematite,Zunyite
S00127,SYN-002,32.5,34.5,156.7,36.27,33.5,33.5,5.13,0.52,0.85,0.0,16.32,4.49,0.0,10.86,14.42,0.0,1.48,0.0,20.74,2.04,48.81,Goethite,Water_silica
S00128,SYN-002,34.5,36.5,157.09,34.59,35.5,35.5,62.85,0.66,1.88,0.0,18.88,9.72,3.97,6.92,9.84,5.04,22.15,5.64,3.96,0.0,5.69,None,WhiteMica
S00129,SYN-002,36.5,38.0,157.43,33.13,37.25,37.25,6.73,0.0,3.33,32.88,10.23,5.46,0.0,2.82,23.88,1.04,2.47,0.0,14.88,47.45,37.85,Hematite,Epidote
S00130,SYN-002,38.0,40.0,157.76,31.66,39.0,39.0,51.57,0.0,0.93,1.69,2.21,24.43,15.33,0.0,6.56,0.0,3.08,2.1,8.81,8.01,6.99,None,WhiteMica
S00131,SYN-002,40.0,41.0,158.05,30.41,40.5,40.5,100.0,0.0,2.61,2.98,7.69,3.62,7.96,2.48,9.36,2.11,1.79,0.0,24.8,5.46,6.54,None,WhiteMica
